"","en","zh-CN","de","es","fr","ja","pl","ru"
"MISSION_1_SOLDIER_SHOUT","You are outnumbered! Stand down and let us get that corrupted bastard!","You are outnumbered! Stand down and let us get that corrupted bastard!","You are outnumbered! Stand down and let us get that corrupted bastard!","¡Estais en inferioridad numérica! ¡Alejaos y dejadnos atrapar a ese bastardo corrupto!","You are outnumbered! Stand down and let us get that corrupted bastard!","You are outnumbered! Stand down and let us get that corrupted bastard!","Jesteście otoczeni! Poddajcie się i wydajcie nam tego zdrajcę narodu!","You are outnumbered! Stand down and let us get that corrupted bastard!"
"MISSION_2_OFFICER_ALARM","They have found us! Raise the alarm!","They have found us! Raise the alarm!","They have found us! Raise the alarm!","¡Nos encontraron! ¡Da la voz de alarma!","They have found us! Raise the alarm!","They have found us! Raise the alarm!","Alarm! Nasza kwatera została odkryta!","They have found us! Raise the alarm!"
"MISSION_2_OFFICER_BARRACKS","Our forces are limited here. We should secure these infantry barracks. This building will enable us to deploy new soldiers for a lower price.","Our forces are limited here. We should secure these infantry barracks. This building will enable us to deploy new soldiers for a lower price.","Our forces are limited here. We should secure these infantry barracks. This building will enable us to deploy new soldiers for a lower price.","Aquí nuestras fuerzas son limitadas. Deberíamos asegurar estos barracones. Este edificio nos permitirá desplegar nuevos soldados a un precio menor.","Our forces are limited here. We should secure these infantry barracks. This building will enable us to deploy new soldiers for a lower price.","Our forces are limited here. We should secure these infantry barracks. This building will enable us to deploy new soldiers for a lower price.","Nasze siły są ograniczone. Powinniśmy zająć te baraki piechoty. Pozwolą nam one rozlokować wojska niższym kosztem.","Our forces are limited here. We should secure these infantry barracks. This building will enable us to deploy new soldiers for a lower price."
"MISSION_2_OFFICER_BARRACKS_CAPTURED_1","Great work, Sir.","Great work, Sir.","Great work, Sir.","Gran trabajo, Señor.","Great work, Sir.","Great work, Sir.","Dobra robota, Generale.","Great work, Sir."
"MISSION_2_OFFICER_BARRACKS_CAPTURED_2","Please be advised, that claiming buildings other than communication towers will require our soldier to stay inside, so make sure we always have enough infantry on the battlefield.","Please be advised, that claiming buildings other than communication towers will require our soldier to stay inside, so make sure we always have enough infantry on the battlefield.","Please be advised, that claiming buildings other than communication towers will require our soldier to stay inside, so make sure we always have enough infantry on the battlefield.","Ten en cuenta que capturar edificios que no sean torres de comunicación requerirá que nuestro soldado permanezca dentro, así que asegúrate de que siempre tengas suficiente infantería en el campo de batalla.","Please be advised, that claiming buildings other than communication towers will require our soldier to stay inside, so make sure we always have enough infantry on the battlefield.","Please be advised, that claiming buildings other than communication towers will require our soldier to stay inside, so make sure we always have enough infantry on the battlefield.","Proszę pamiętać, że zajęcie budynku innego niż wieża komunikacyjna wymaga, aby nasz żołnierz pozostał w środku, musimy więc zadbać o to, by zawsze mieć ich wystarczająco dużo na polu bitwy.","Please be advised, that claiming buildings other than communication towers will require our soldier to stay inside, so make sure we always have enough infantry on the battlefield."
"MISSION_2_OFFICER_BARRACKS_CAPTURED_3","There were some recruits waiting in the barracks. They have joined us.","There were some recruits waiting in the barracks. They have joined us.","There were some recruits waiting in the barracks. They have joined us.","Había algunos reclutas esperando en el cuartel. Se han unido a nosotros.","There were some recruits waiting in the barracks. They have joined us.","There were some recruits waiting in the barracks. They have joined us.","W barakach szkoliło się kilku rekrutów. Dołączyli do naszych sił.","There were some recruits waiting in the barracks. They have joined us."
"MISSION_2_OFFICER_BARRACKS_TIP_1","Deploying more units will cost us resources, same as moving them. Spend them wisely.","Deploying more units will cost us resources, same as moving them. Spend them wisely.","Deploying more units will cost us resources, same as moving them. Spend them wisely.","Desplegar más unidades te costará recursos, al igual que moverlas. Gastalos sabiamente.","Deploying more units will cost us resources, same as moving them. Spend them wisely.","Deploying more units will cost us resources, same as moving them. Spend them wisely.","Rozlokowanie nowych jednostek kosztuje nas zasoby, te same, których używamy do poruszania. Musimy mądrze nimi zarządzać.","Deploying more units will cost us resources, same as moving them. Spend them wisely."
"MISSION_2_OFFICER_BARRACKS_TIP_2","In order to deploy a unit, dedicated spawn tile next to the building must be free. If one of your units occupies that tile, you have to move it first.","In order to deploy a unit, dedicated spawn tile next to the building must be free. If one of your units occupies that tile, you have to move it first.","In order to deploy a unit, dedicated spawn tile next to the building must be free. If one of your units occupies that tile, you have to move it first.","Para desplegar una unidad, el azulejo de despliegue al lado del edificio debe estar libre. Si una de tus unidades ocupa el azulejo, debes moverla primero.","In order to deploy a unit, dedicated spawn tile next to the building must be free. If one of your units occupies that tile, you have to move it first.","In order to deploy a unit, dedicated spawn tile next to the building must be free. If one of your units occupies that tile, you have to move it first.","Aby rozlokować nową jednostkę, pole wyjścia z budynku musi być puste. Jeżeli zajmuje je nasza jednostka, musimy ją najpierw odsunąć.","In order to deploy a unit, dedicated spawn tile next to the building must be free. If one of your units occupies that tile, you have to move it first."
"MISSION_2_OFFICER_BARRACKS_TIP_3","You can use this to your advantage as well. Blocking spawn tiles next to enemy buildings will prevent them from deploying reinforcements.","You can use this to your advantage as well. Blocking spawn tiles next to enemy buildings will prevent them from deploying reinforcements.","You can use this to your advantage as well. Blocking spawn tiles next to enemy buildings will prevent them from deploying reinforcements.","También puedes usarlo como una ventaja. El bloqueo de los azulejos de despliegue junto a los edificios enemigos evitará que desplieguen refuerzos.","You can use this to your advantage as well. Blocking spawn tiles next to enemy buildings will prevent them from deploying reinforcements.","You can use this to your advantage as well. Blocking spawn tiles next to enemy buildings will prevent them from deploying reinforcements.","Możemy użyć tej wiedzy przeciwko wrogowi. Ustawienie jendostki na wyjściu wrogiego budynku zablokuje jego możliwość rozlokowywania posiłków.","You can use this to your advantage as well. Blocking spawn tiles next to enemy buildings will prevent them from deploying reinforcements."
"MISSION_2_OFFICER_INTRO","Sir, recently we've been getting reports of increased militia activity in this region. We suspect there might be an organized command centre nearby. We should investigate.","Sir, recently we've been getting reports of increased militia activity in this region. We suspect there might be an organized command centre nearby. We should investigate.","Sir, recently we've been getting reports of increased militia activity in this region. We suspect there might be an organized command centre nearby. We should investigate.","Señor, recientemente hemos recibido informes de una mayor actividad de las milicias en esta región. Sospechamos que podría haber un comando organizado cerca. Deberíamos investigar.","Sir, recently we've been getting reports of increased militia activity in this region. We suspect there might be an organized command centre nearby. We should investigate.","Sir, recently we've been getting reports of increased militia activity in this region. We suspect there might be an organized command centre nearby. We should investigate.","Panie Generale, otrzymaliśmy ostatnio wiele raportów o działalności milicji w tym rejonie. Podejrzewamy, że mogą mieć tu zorganizowane centrum dowodzenia. Powinniśmy przeszukać tę okolicę.","Sir, recently we've been getting reports of increased militia activity in this region. We suspect there might be an organized command centre nearby. We should investigate."
"MISSION_2_OFFICER_TIPOFF","Sir! We just got a tip off from local civilians indicating the location of the militia HQ. This is our objective.","Sir! We just got a tip off from local civilians indicating the location of the militia HQ. This is our objective.","Sir! We just got a tip off from local civilians indicating the location of the militia HQ. This is our objective.","¡Señor! Acabamos de recibir un aviso de los civiles locales que indican la ubicación del cuartel general de la milicia. Este es nuestro objetivo.","Sir! We just got a tip off from local civilians indicating the location of the militia HQ. This is our objective.","Sir! We just got a tip off from local civilians indicating the location of the militia HQ. This is our objective.","Panie Generale! Otrzymaliśmy informacje od lokalnych cywili wskazującą prawdopodobną lokalizację kwatery milicji. To nasz główny cel.","Sir! We just got a tip off from local civilians indicating the location of the militia HQ. This is our objective."
"MISSION_3_OBJECTIVE","Our objective is to take the City Hall. Local defense forces are still disorganized. We should use this window of opportunity.","Our objective is to take the City Hall. Local defense forces are still disorganized. We should use this window of opportunity.","Our objective is to take the City Hall. Local defense forces are still disorganized. We should use this window of opportunity.","Nuestro objetivo es tomar el Ayuntamiento. Las fuerzas de defensa locales todavía están desorganizadas. Deberíamos usar esa oportunidad.","Our objective is to take the City Hall. Local defense forces are still disorganized. We should use this window of opportunity.","Our objective is to take the City Hall. Local defense forces are still disorganized. We should use this window of opportunity.","Naszym celem jest centrum miasta. Lokalne siły są wciąż zdezorganizowane. Musimy skorzystać z tej okazji.","Our objective is to take the City Hall. Local defense forces are still disorganized. We should use this window of opportunity."
"MISSION_3_OFFICER_FACTORY_AI","Commander, this is not good! Local forces have taken active control of this factory. We need to re-take it, or we will face a lot more tanks that we can handle.","Commander, this is not good! Local forces have taken active control of this factory. We need to re-take it, or we will face a lot more tanks that we can handle.","Commander, this is not good! Local forces have taken active controll of this factory. We need to re-take it, or we will face a lot more tanks that we can handle.","Comandante, ¡esto no es bueno! Las fuerzas locales han tomado el control de esta fábrica. Necesitamos recuperarla, o nos enfrentaremos a muchos más tanques de los que podemos soportar.","Commander, this is not good! Local forces have taken active controll of this factory. We need to re-take it, or we will face a lot more tanks that we can handle.","Commander, this is not good! Local forces have taken active controll of this factory. We need to re-take it, or we will face a lot more tanks that we can handle.","Dowódco, nie wygląda to dobrze. Lokalne wojsko przejęło bezpośrednią kontrolę nad fabryką. Musimy ją odbić, w przeciwnym wypadku ryzykujemy walkę z większą ilością czołgów, niż jesteśmy w stanie zniszczyć.","Commander, this is not good! Local forces have taken active controll of this factory. We need to re-take it, or we will face a lot more tanks that we can handle."
"MISSION_3_OFFICER_FACTORY_CAP_1","Great work, Commander. Nothing will stop us now.","Great work, Commander. Nothing will stop us now.","Great work, Commander. Nothing will stop us now.","Gran trabajo, Comandante. Nada nos detendrá ahora.","Great work, Commander. Nothing will stop us now.","Great work, Commander. Nothing will stop us now.","Dobra robota, Dowódco. Nic nas teraz nie zatrzyma.","Great work, Commander. Nothing will stop us now."
"MISSION_3_OFFICER_FACTORY_CAP_2","Local defense forces ordered a tank recently. I guess it is ours now.","Local defense forces ordered a tank recently. I guess it is ours now.","Local defense forces ordered a tank recently. I guess it is ours now.","Las fuerzas de defensa locales ordenaron un tanque recientemente. Supongo que ahora es nuestro.","Local defense forces ordered a tank recently. I guess it is ours now.","Local defense forces ordered a tank recently. I guess it is ours now.","Lokalne siły zbrojne zamówiły niedawno nowe czołgi. Teraz należą do nas.","Local defense forces ordered a tank recently. I guess it is ours now."
"MISSION_3_OFFICER_INTRO_1","Welcome, Commander. Apologies for the delays.","Welcome, Commander. Apologies for the delays.","Welcome, Commander. Apologies for the delays.","Bienvenido, Comandante. Disculpa por los retrasos.","Welcome, Commander. Apologies for the delays.","Welcome, Commander. Apologies for the delays.","Witam, Dowódco. Przepraszam za opóźnienia.","Welcome, Commander. Apologies for the delays."
"MISSION_3_OFFICER_INTRO_2","We finally managed to set up a camp. Wasn't easy to gather troops after we lost control of the army.","We finally managed to set up a camp. Wasn't easy to gather troops after we lost control of the army.","We finally managed to set up a camp. Wasn't easy to gather troops after we lost controll of the army.","Finalmente logramos establecer un campamento. No fue fácil reunir tropas después de que perdieramos el control del ejercito.","We finally managed to set up a camp. Wasn't easy to gather troops after we lost controll of the army.","We finally managed to set up a camp. Wasn't easy to gather troops after we lost controll of the army.","Udało nam się zakończyć rozstawianie obozu. Zebranie odpowiednich sił nie było łatwe odkąd straciliśmy kontrolę nad regularną armią.","We finally managed to set up a camp. Wasn't easy to gather troops after we lost controll of the army."
"MISSION_3_TANK_1","Our militiants managed to steal a tank from nearby military base. It won't be long before someone notices.","Our militiants managed to steal a tank from nearby military base. It won't be long before someone notices.","Our militiants managed to steal a tank from nearby military base. It won't be long before someone notices.","Nuestros militantes lograron robar un tanque de la base militar que hay cerca. No pasará mucho antes de que alguien se dé cuenta.","Our militiants managed to steal a tank from nearby military base. It won't be long before someone notices.","Our militiants managed to steal a tank from nearby military base. It won't be long before someone notices.","Oddział milicjantów zdołał ukraść czołg z pobliskiej bazy. Zapewne niedługo zorientują się, że go brakuje.","Our militiants managed to steal a tank from nearby military base. It won't be long before someone notices."
"MISSION_3_TANK_2","Tanks are great at dealing with infantry - this one will be a valuble asset in this mission. Still, we need more if we are to succeed.","Tanks are great at dealing with infantry - this one will be a valuble asset in this mission. Still, we need more if we are to succeed.","Tanks are great at dealing with infantry - this one will be a valuble asset in this mission. Still, we need more if we are to succeed.","Los tanques son excelentes para tratar con la infantería - este será un activo valioso en esta misión. Aún así, necesitamos más si queremos tener éxito.","Tanks are great at dealing with infantry - this one will be a valuble asset in this mission. Still, we need more if we are to succeed.","Tanks are great at dealing with infantry - this one will be a valuble asset in this mission. Still, we need more if we are to succeed.","Czołgi są bardzo efektywne w zwalczaniu piechoty - nieoceniona pomoc w tej misji. Jeżeli chcemy zwyciężyć, musimy mieć ich więcej.","Tanks are great at dealing with infantry - this one will be a valuble asset in this mission. Still, we need more if we are to succeed."
"MISSION_3_TANK_FACTORY","There is a tank fabrication facility nearby. Take it before the enemy uses those heavy units to stop our assault.","There is a tank fabrication facility nearby. Take it before the enemy uses those heavy units to stop our assault.","There is a tank fabrication facility nearby. Take it before the enemy uses those heavy units to stop our assault.","Hay una fabrica de tanques cerca. Tómala antes de que el enemigo use esas unidades pesadas para detener nuestro asalto.","There is a tank fabrication facility nearby. Take it before the enemy uses those heavy units to stop our assault.","There is a tank fabrication facility nearby. Take it before the enemy uses those heavy units to stop our assault.","Niedaleko znajduje się fabryka zdolna produkować nowe jednostki pancerne. Zajmijmy ją zanim wróg użyje jej do zatrzymania naszej ofensywy.","There is a tank fabrication facility nearby. Take it before the enemy uses those heavy units to stop our assault."
"MISSION_4_COMM_CUT_1","With both towers near their HQ we knocked out their comms completely.","With both towers near their HQ we knocked out their comms completely.","With both towers near their HQ we knocked out their comms completely.","Con ambas torres cerca de su Cuartel General cancelaremos sus comunicaciones por completo.","With both towers near their HQ we knocked out their comms completely.","With both towers near their HQ we knocked out their comms completely.","Przejęliśmy obydwie wieże komunikacyjne bazy wroga. To powinno kompletnie ją odciąć.","With both towers near their HQ we knocked out their comms completely."
"MISSION_4_COMM_CUT_2","What the... ? Command, come in. Anyone?","What the... ? Command, come in. Anyone?","What the... ? Command, come in. Anyone?","¿Qué...? Comando, adelante. ¿Alguien?","What the... ? Command, come in. Anyone?","What the... ? Command, come in. Anyone?","Co jest... ? Centrala, zgłoście się. Ktokolwiek mnie słyszy?","What the... ? Command, come in. Anyone?"
"MISSION_4_COMM_CUT_3","Good luck with that.","Good luck with that.","Good luck with that.","Buena suerte.","Good luck with that.","Good luck with that.","Powodzenia w dzwonieniu do domu.","Good luck with that."
"MISSION_4_FORWARD_BARRACK","Capturing these forward barracks would allow us to bring soldiers to the front line more easily.","Capturing these forward barracks would allow us to bring soldiers to the front line more easily.","Capturing these forward barracks would allow us to bring soldiers to the front line more easily.","La captura de estos cuarteles nos permitiría llevar llevar a los soldados a la línea del frente más fácilmente.","Capturing these forward barracks would allow us to bring soldiers to the front line more easily.","Capturing these forward barracks would allow us to bring soldiers to the front line more easily.","Przejęcie wysuniętych baraków piechoty pozwoli nam sprawniej wzmacniać linię frontu nowymi jednostkami.","Capturing these forward barracks would allow us to bring soldiers to the front line more easily."
"MISSION_4_GUARD_WARN","Rebels are getting close!","Rebels are getting close!","Rebels are getting close!","¡Los rebeldes se están acercando!","Rebels are getting close!","Rebels are getting close!"," Rebelianci się zbliżają!","Rebels are getting close!"
"MISSION_4_OFFICER_HELP_1","This is perimeter base! We are under attack! Repeat, we are under attack!","This is perimeter base! We are under attack! Repeat, we are under attack!","This is perimeter base! We are under attack! Repeat, we are under attack!","¡Este perímetro pertenece a la base! ¡Estamos bajo ataque! ¡Repito, estamos bajo ataque!","This is perimeter base! We are under attack! Repeat, we are under attack!","This is perimeter base! We are under attack! Repeat, we are under attack!","Tu baza graniczna! Jesteśmy atakowani! Powtarzam, baza została zaatakowana!","This is perimeter base! We are under attack! Repeat, we are under attack!"
"MISSION_4_OFFICER_HELP_2","This is not good, they managed to restore communications. We have to prepare for reinforcements.","This is not good, they managed to restore communications. We have to prepare for reinforcements.","This is not good, they managed to restore communications. We have to prepare for reinforcements.","Esto no es bueno, han logrado restaurar las comunicaciones. Tenemos que prepararnos para la llegada de refuerzos.","This is not good, they managed to restore communications. We have to prepare for reinforcements.","This is not good, they managed to restore communications. We have to prepare for reinforcements.","Niedobrze, zdołali nawiązać połączenie z centralą. Przygotujmy się na nieuniknione posiłki.","This is not good, they managed to restore communications. We have to prepare for reinforcements."
"MISSION_4_OFFICER_INTRO_1","Great work on securing a foothold Commander, but our work here is not yet done.","Great work on securing a foothold Commander, but our work here is not yet done.","Great work on securing a foothold Commander, but our work here is not yet done.","Gran trabajo al asegurar esta zona Comandante, pero nuestro trabajo aquí aún no ha terminado.","Great work on securing a foothold Commander, but our work here is not yet done.","Great work on securing a foothold Commander, but our work here is not yet done.","Dobra robota z zabezpieczeniem przyczółku, Dowódco. Nasza praca nie jest jednak jeszcze skończona.","Great work on securing a foothold Commander, but our work here is not yet done."
"MISSION_4_OFFICER_INTRO_2","If we are to secure our presence in this region, we have to take over the military base.","If we are to secure our presence in this region, we have to take over the military base.","If we are to secure our presence in this region, we have to take over the military base.","Si queremos asegurar nuestra presencia en esta región, tenemos que tomar el control de la base militar.","If we are to secure our presence in this region, we have to take over the military base.","If we are to secure our presence in this region, we have to take over the military base.","Jeżeli mamy umocnić się w tym regionie, musimy przejąć pobliską bazę wojskową.","If we are to secure our presence in this region, we have to take over the military base."
"MISSION_4_OFFICER_INTRO_3","Armoured units are available. Expect the enemy base to deploy tanks of their own!","Armoured units are available. Expect the enemy base to deploy tanks of their own!","Armoured units are available. Expect the enemy base to deploy tanks of their own!","Las unidades blindadas están disponibles. ¡Cuenta con que la base enemiga despliegue sus propios tanques!","Armoured units are available. Expect the enemy base to deploy tanks of their own!","Armoured units are available. Expect the enemy base to deploy tanks of their own!","Mamy do naszej dyspozycji jednostki pancerne. Spodziewamy się, że wróg odpowie swoimi czołgami!","Armoured units are available. Expect the enemy base to deploy tanks of their own!"
"MISSION_4_OFFICER_LANDLINE_1","We've managed to cut off their landline communications, Commander. We should be able to overwhelm them before they can even call for help.","We've managed to cut off their landline communications, Commander. We should be able to overwhelm them before they can even call for help.","We've managed to cut off their landline communications, Commander. We should be able to overwhelm them before they can even call for help.","Hemos logrado cortar sus comunicaciones terrestres, Comandante. Deberíamos poder aplastarlos antes de que puedan siquiera pedir ayuda.","We've managed to cut off their landline communications, Commander. We should be able to overwhelm them before they can even call for help.","We've managed to cut off their landline communications, Commander. We should be able to overwhelm them before they can even call for help.","Udało nam się odciąć linię komunikacyjną bazy. Powinniśmy być w stanie pokonać obronę zanim zdołają wezwać pomoc.","We've managed to cut off their landline communications, Commander. We should be able to overwhelm them before they can even call for help."
"MISSION_4_OFFICER_LANDLINE_2","Still, we should not waste any time. They can still use comm towers.","Still, we should not waste any time. They can still use comm towers.","Still, we should not waste any time. They can still use comm towers.","Aún así, no deberíamos perder el tiempo. Todavía pueden usar las torres de comunicaciones.","Still, we should not waste any time. They can still use comm towers.","Still, we should not waste any time. They can still use comm towers.","Mimo to nie możemy tracić czasu. Obrońcy wciąż mogą skorzystać z wież komunikacyjnych.","Still, we should not waste any time. They can still use comm towers."
"MISSION_4_RAPID_RESPONSE","Rapid response unit reporting in!","Rapid response unit reporting in!","Rapid response unit reporting in!","¡Unidad de respuesta rápida informando!","Rapid response unit reporting in!","Rapid response unit reporting in!","Jednostka szybkiego reagowania melduje się!","Rapid response unit reporting in!"
"MISSION_5_AIRPORT_CAP_1","There is more equipment here, than we expected. They probably regret loosing this outpost already.","There is more equipment here, than we expected. They probably regret loosing this outpost already.","There is more equipment here, than we expected. They probably regret loosing this outpost already.","Aquí hay más equipamiento de lo que esperábamos. Probablemente se arrepientan de perder este puesto avanzado.","There is more equipment here, than we expected. They probably regret loosing this outpost already.","There is more equipment here, than we expected. They probably regret loosing this outpost already.","Mają tu więcej sprzętu, niż myśleliśmy. Pewnie już żałują, że go utracili.","There is more equipment here, than we expected. They probably regret loosing this outpost already."
"MISSION_5_AIRPORT_CAP_2","Attack helicopter reporting for duty.","Attack helicopter reporting for duty.","Attack helicopter reporting for duty.","Helicóptero de ataque informando.","Attack helicopter reporting for duty.","Attack helicopter reporting for duty.","Helikopter szturmowy melduje się.","Attack helicopter reporting for duty."
"MISSION_5_AIRPORT_NEAR_1","This is an airforce outpost meant to support the main base. Defences seem to be minimal, they did not expect an attack from this direction.","This is an airforce outpost meant to support the main base. Defences seem to be minimal, they did not expect an attack from this direction.","This is an airforce outpost meant to support the main base. Defences seem to be minimal, they did not expect an attack from this direction.","Este es un puesto avanzado de la fuerza aérea destinado a dar soporte a la base principal. Las defensas parecen ser mínimas, no esperaban un ataque desde esta dirección.","This is an airforce outpost meant to support the main base. Defences seem to be minimal, they did not expect an attack from this direction.","This is an airforce outpost meant to support the main base. Defences seem to be minimal, they did not expect an attack from this direction.","To lotnisko, które wspomaga główną bazę. Obrona wydaje się minimalna, nie spodziewali się ataku z tej strony.","This is an airforce outpost meant to support the main base. Defences seem to be minimal, they did not expect an attack from this direction."
"MISSION_5_AIRPORT_NEAR_2","We should claim this building for additional air support.","We should claim this building for additional air support.","We should claim this building for additional air support.","Deberíamos reclamar este edificio para apoyo aéreo adicional.","We should claim this building for additional air support.","We should claim this building for additional air support.","Powinniśmy je zając, aby zyskać dodatkowe wsparcie z powietrza.","We should claim this building for additional air support."
"MISSION_5_BLOCK_1","You will not get away with this, traitors!","You will not get away with this, traitors!","You will not get away with this, traitors!","¡No os saldréis con la vuestra, traidores!","You will not get away with this, traitors!","You will not get away with this, traitors!","Nie myślcie, że ujdzie wam to na sucho, zdrajcy!","You will not get away with this, traitors!"
"MISSION_5_BLOCK_2","It is you, who betrayed our great President! Arrest him!","It is you, who betrayed our great President! Arrest him!","It is you, who betrayed our great President! Arrest him!","¡Eres tú quien traicionó a nuestro gran presidente! ¡Arréstenlo!","It is you, who betrayed our great President! Arrest him!","It is you, who betrayed our great President! Arrest him!","To wy zdradziliście naszego prezydenta! Aresztować go!","It is you, who betrayed our great President! Arrest him!"
"MISSION_5_FLANK","With the right flank secured, we were able to bring in some reinforcements.","With the right flank secured, we were able to bring in some reinforcements.","With the right flank secured, we were able to bring in some reinforcements.","Con el flanco derecho asegurado, pudimos traer algunos refuerzos.","With the right flank secured, we were able to bring in some reinforcements.","With the right flank secured, we were able to bring in some reinforcements.","Zabezpieczyliśmy prawą flankę, dzięki czemu udało nam się wprowadzić na pole bitwy dodatkowe siły.","With the right flank secured, we were able to bring in some reinforcements."
"MISSION_5_OFFICER_INTRO_1","Government forces throughout the peninsula are busy fighting local militia.","Government forces throughout the peninsula are busy fighting local militia.","Government forces throughout the peninsula are busy fighting local militia.","Las fuerzas gubernamentales en toda la península están ocupadas luchando contra la milicia local.","Government forces throughout the peninsula are busy fighting local militia.","Government forces throughout the peninsula are busy fighting local militia.","Wojska rządowa na półwyspie są zajęte walką z lokalną milicją.","Government forces throughout the peninsula are busy fighting local militia."
"MISSION_5_OFFICER_INTRO_2","With a cooridnated push, we can take control of this land before they can re-organize.","With a cooridnated push, we can take control of this land before they can re-organize.","With a cooridnated push, we can take controll of this land before they can re-organize.","Con un impulso coordinado, podemos tomar el control de esta tierra antes de que puedan reorganizarse.","With a cooridnated push, we can take controll of this land before they can re-organize.","With a cooridnated push, we can take controll of this land before they can re-organize.","Wystarczy jeden zorganizowany atak, aby przejąć kontrolę nad tymi ziemiami zanim zorientują się co się dzieje.","With a cooridnated push, we can take controll of this land before they can re-organize."
"MISSION_5_OFFICER_INTRO_3","This base safeguards a strategic route connecting the peninsula with the rest of the country. Taking control of this facility will cut off all remaining army, forcing them to surrender.","This base safeguards a strategic route connecting the peninsula with the rest of the country. Taking control of this facility will cut off all remaining army, forcing them to surrender.","This base safeguards a strategic route connecting the peninsula with the rest of the country. Taking controll of this facility will cut off all remaining army, forcing them to surrender.","Esta base protege una ruta estratégica que conecta la península con el resto del país. Tomar el control de esta instalación cortará todo el ejército restante, obligándolos a rendirse.","This base safeguards a strategic route connecting the peninsula with the rest of the country. Taking controll of this facility will cut off all remaining army, forcing them to surrender.","This base safeguards a strategic route connecting the peninsula with the rest of the country. Taking controll of this facility will cut off all remaining army, forcing them to surrender.","Ta baza zabezpiecza ważną strategicznie trasę łączącą półwysep z resztą kraju. Jeżeli ją zajmiemy, to odetniemy reszcie armii drogę odwrotu, zmuszając ich do poddania się.","This base safeguards a strategic route connecting the peninsula with the rest of the country. Taking controll of this facility will cut off all remaining army, forcing them to surrender."
"MISSION_6_APP_BASE","Sir, this looks like an abandoned rebel encampment. It seems they had no way of moving all this equipment, so they just left it.","Sir, this looks like an abandoned rebel encampment. It seems they had no way of moving all this equipment, so they just left it.","Sir, this looks like an abandoned rebel encampment. It seems they had no way of moving all this equipment, so they just left it.","Señor, esto parece un campamento rebelde abandonado. Parece que no tenían forma de mover todo este equipo, así que simplemente lo abandonaron.","Sir, this looks like an abandoned rebel encampment. It seems they had no way of moving all this equipment, so they just left it.","Sir, this looks like an abandoned rebel encampment. It seems they had no way of moving all this equipment, so they just left it.","Meldujemy odnalezienie bazy rebeliantów. Wygląda na opuszczoną. Chyba nie byli w stanie zabrać całego sprzętu, więc część zostawili.","Sir, this looks like an abandoned rebel encampment. It seems they had no way of moving all this equipment, so they just left it."
"MISSION_6_APP_TOWERS_1","There are two comm towers on the left flank.","There are two comm towers on the left flank.","There are two comm towers on the left flank.","Hay dos torres de comunicaciones en el flanco izquierdo.","There are two comm towers on the left flank.","There are two comm towers on the left flank.","Na lewej flance znajdują się dwie wieże telekomunikacyjne.","There are two comm towers on the left flank."
"MISSION_6_APP_TOWERS_2","There may be some AA emplacements in the area, but if we capture those towers, we will be able to guide in more air support safely.","There may be some AA emplacements in the area, but if we capture those towers, we will be able to guide in more air support safely.","There may be some AA emplacements in the area, but if we capture those towers, we will be able to guide in more air support safely.","Puede haber algunos emplazamientos de AA en el área, pero si capturamos esas torres, podremos guiar más apoyo aéreo de forma segura.","There may be some AA emplacements in the area, but if we capture those towers, we will be able to guide in more air support safely.","There may be some AA emplacements in the area, but if we capture those towers, we will be able to guide in more air support safely.","W pobliżu mogą znajdować się stanowiska przeciwlotnicze, jeżeli zajmiemy te wieże, to możemy sprowadzić bezpiecznie więcej sił powietrznych.","There may be some AA emplacements in the area, but if we capture those towers, we will be able to guide in more air support safely."
"MISSION_6_APP_TOWERS_3","Anti-tank team has arrived.","Anti-tank team has arrived.","Anti-tank team has arrived.","El equipo antitanque ha llegado.","Anti-tank team has arrived.","Anti-tank team has arrived.","Jednostka przeciwpancerna dotarła na pole bitwy.","Anti-tank team has arrived."
"MISSION_6_INTRO_1","Welcome, Sir. As you may already know, recent setbacks have put us in an unfavourable position. We have to start pushing back.","Welcome, Sir. As you may already know, recent setbacks have put us in an unfavourable position. We have to start pushing back.","Welcome, Sir. As you may already know, recent setbacks have put us in an unfavourable position. We have to start pushing back.","Bienvenido Señor, Como ya sabrá, los recientes reveses nos han puesto en una posición desfavorable. Tenemos que comenzar a retroceder.","Welcome, Sir. As you may already know, recent setbacks have put us in an unfavourable position. We have to start pushing back.","Welcome, Sir. As you may already know, recent setbacks have put us in an unfavourable position. We have to start pushing back.","Witam. Jak już być może wiesz, ostatnie porażki postawiły nas w trudnej sytuacji. Musimy rozpocząc kontrofensywę.","Welcome, Sir. As you may already know, recent setbacks have put us in an unfavourable position. We have to start pushing back."
